timestamp,roi_x,roi_y,roi_width,roi_height,focus_metric,focus_value,ema_focus_value,dema_focus_value,dfv,smooth_ddfv,ratio,ee_pose_x,ee_pose_y,ee_pose_z,ee_orient_x,ee_orient_y,ee_orient_z,ee_orient_w,velocity_command,focus_mode,is_focused
1764013776941140913,0.5,0.5,100,100,fswm,79.18320185698475,79.18320185698475,79.18320185698475,0.0,-1.5507107869677919,0.9750161746430568,0.3753801107297365,-0.13780879454963985,0.40919566719983924,-0.5836828572095285,-0.4014780657112907,0.40333498200564294,0.5791809537985078,0.8204992089417098,adaptive coarse,False
1764013777041976489,0.5,0.5,100,100,fswm,81.10589529726914,80.14454857712695,80.62522193719806,1.442020080213311,-0.054345353377240446,1.0182111867971415,0.3753820448620015,-0.13780173575382956,0.4092057743370069,-0.5836831749422338,-0.40146264346457167,0.4033429217130729,0.5791857946253122,0.7856916230870131,adaptive coarse,False
1764013777142632533,0.5,0.5,100,100,fswm,104.32963581391863,92.23709219552279,98.52370068475626,17.8984787475582,8.201056656983825,1.2219960245380779,0.3737145706519439,-0.13710173972926756,0.4095172132989986,-0.5836105271594747,-0.40118255095314526,0.4034398521912513,0.5793855357732608,0.6546666142407501,adaptive coarse,False
1764013777241106993,0.5,0.5,100,100,fswm,119.47367656406806,105.85538437979542,115.80783471654848,17.28413403179222,3.793355970608922,1.1754312303706071,0.37163867916008686,-0.13628334024931868,0.4096300924856401,-0.5836232965463735,-0.40102872021054475,0.40341125389935684,0.5794990712002783,0.6806012800491649,adaptive coarse,False
1764013777341347028,0.5,0.5,100,100,fswm,89.55383077023232,97.70460757501388,98.60544434099964,-17.202390375548845,-15.346584218366072,0.8514574560723508,0.3698889898952243,-0.13560445734389218,0.4096971857821208,-0.5836177908158833,-0.40096615075709935,0.4034118706101744,0.5795474810928118,0.9395654407564689,adaptive coarse,False
1764013777441263617,0.5,0.5,100,100,fswm,71.35630376014078,84.53045566757733,78.39379809685192,-20.211646244147715,-9.177920043482471,0.7950250477625623,0.36814528494235893,-0.13490893412748628,0.4097752982840003,-0.5835995910319275,-0.4008931806752253,0.4034413178220393,0.5795957885539579,1.0062576044005642,adaptive coarse,False
1764013777541012243,0.5,0.5,100,100,fswm,71.67987116205478,78.10516341481605,71.8241885030727,-6.569609593779219,2.2320583034430133,0.916197329976757,0.3658857538927086,-0.1340517852159888,0.4098291020617283,-0.5835920012936276,-0.4008389145228035,0.40345238324422833,0.5796332591258297,0.8731743411872803,adaptive coarse,False
1764013777641464552,0.5,0.5,100,100,fswm,48.14211546494155,63.1236394398788,52.492389996538506,-19.3317985065342,-5.265065304655983,0.7308455701423321,0.3633965361278269,-0.13307568720629592,0.40988740502607557,-0.583563021648466,-0.40077006094386336,0.40348319078285466,0.5796885998286065,1.094622493017506,adaptive coarse,False
1764013777740961072,0.5,0.5,100,100,fswm,60.33717154932686,61.730405494602834,55.718163800294704,3.225773803756198,8.646253502817206,1.0614522181971313,0.36107559182473836,-0.13218274684779743,0.40993404104688924,-0.5835657412835469,-0.4007161777877756,0.4034984222496055,0.57971250952642,0.7536844205373597,adaptive coarse,False
1764013777840970443,0.5,0.5,100,100,fswm,79.40909412047603,70.56974980753944,71.98330111685368,16.265137316558977,10.842808507809993,1.2919180426486514,0.35845986641904465,-0.1311945336440548,0.4099490440946493,-0.5835519260295967,-0.40075645431815915,0.4035224002829042,0.5796818838116378,0.619234327248704,adaptive coarse,False
