timestamp,roi_x,roi_y,roi_width,roi_height,focus_metric,focus_value,ema_focus_value,dema_focus_value,dfv,smooth_ddfv,ratio,ee_pose_x,ee_pose_y,ee_pose_z,ee_orient_x,ee_orient_y,ee_orient_z,ee_orient_w,velocity_command,focus_mode,is_focused
1764014907041330118,0.5,0.5,100,100,squared_gradient,0.04878061069606151,0.04878061069606151,0.04878061069606151,0.0,0.001734900562747607,0.9235610246303729,0.3748755887960843,-0.13916543681133967,0.4091633281076975,-0.5748928231900515,-0.4059347754642859,0.4070754946314894,0.5822411369732133,0.2,ehc,False
1764014907140899891,0.5,0.5,100,100,squared_gradient,0.05635990513847751,0.052570257917269506,0.05446508152787351,0.005684470831811998,0.003709685697279803,1.1165313584782766,0.3748703346773807,-0.1391540871516671,0.4091463577138255,-0.5748983725736547,-0.40595445435728694,0.40709389805692087,0.582209069290802,0.2,ehc,False
1764014907240953742,0.5,0.5,100,100,squared_gradient,0.052216165253486733,0.052393211585378116,0.05325210022473442,-0.0012129813031390851,-0.00159388321883564,0.9777291932902309,0.37435613670777634,-0.13901585369123956,0.4094774325143594,-0.5747875463783543,-0.4057313763410115,0.4072208923268706,0.5823851574630721,0.2,ehc,False
1764014907341032703,0.5,0.5,100,100,squared_gradient,0.06975752481003955,0.06107536819770883,0.06584589082355234,0.01259379059881792,0.006106444341560682,1.236493782323507,0.37383803708421454,-0.13886097127944397,0.40974394830941896,-0.5746615033876141,-0.4056019218536523,0.4073789461186077,0.5824891688024796,0.2,ehc,False
1764014907441069514,0.5,0.5,100,100,squared_gradient,0.06266792634293789,0.06187164727032336,0.06465504811955239,-0.001190842703999953,-0.0038390944806285954,0.9819146997769221,0.37332931194922714,-0.13876767584675498,0.4097998677707184,-0.5746301702286579,-0.405624053420863,0.4074515738186122,0.5824538691966501,0.2,ehc,False
1764014907541070654,0.5,0.5,100,100,squared_gradient,0.06961292708263486,0.06574228717647912,0.06906930755417151,0.004414259434619122,0.0008830038289952399,1.068274010506601,0.37278555980551137,-0.1386159509236185,0.40982553923334963,-0.5746057810106189,-0.40564413288153284,0.4074873260369278,0.5824389350028383,0.2,ehc,False
1764014907641096974,0.5,0.5,100,100,squared_gradient,0.0615018378017206,0.06362206248909986,0.06422546033425644,-0.004843847219915071,-0.004187551412769477,0.9298697584869225,0.37228374102591727,-0.1384355043953863,0.4096908632918128,-0.5746885973320468,-0.40575866452324333,0.4073513249602094,0.5823725786075447,0.2,ehc,False
1764014907741196636,0.5,0.5,100,100,squared_gradient,0.04652925843404243,0.05507566046157115,0.05110415837038508,-0.01312130196387136,-0.0062325030783628825,0.7956993706922059,0.3718298431481121,-0.1382802126425169,0.4095349468263493,-0.574749966293713,-0.40587906200522034,0.40727683867432546,0.5822802074178597,0.2,ehc,False
1764014907841119115,0.5,0.5,100,100,squared_gradient,0.04988255156296141,0.05247910601226628,0.04919507774202082,-0.001909080628364264,0.0024898591285721066,0.9626433407918018,0.37135844072790697,-0.1381292740051346,0.40960601693554155,-0.574716429571411,-0.40585843387587195,0.407310939277207,0.5823038347612295,0.2,ehc,False
1764014907940912652,0.5,0.5,100,100,squared_gradient,0.052324639574549144,0.05240187279340772,0.0507212420488557,0.0015261643068348804,0.0029625520318856255,1.0310227034265114,0.37081254325680174,-0.13797857107153114,0.4097696460157211,-0.5746594668451434,-0.4057675018284815,0.4073950422479144,0.582364586128783,0.2,ehc,False
