timestamp,roi_x,roi_y,roi_width,roi_height,focus_metric,focus_value,ema_focus_value,dema_focus_value,dfv,smooth_ddfv,ratio,ee_pose_x,ee_pose_y,ee_pose_z,ee_orient_x,ee_orient_y,ee_orient_z,ee_orient_w,velocity_command,focus_mode,is_focused
1764013223141303783,0.5,0.5,100,100,sobel,0.04119984,0.04119984,0.04119984,0.0,-0.00023561458276266743,1.04460896229378,0.37536229894015555,-0.13810831715911287,0.4096189150160865,-0.5813917649555261,-0.3975920656568439,0.4060939926613211,0.582230052550544,0.2,ehc,False
1764013223241118680,0.5,0.5,100,100,sobel,0.032,0.03659992,0.034299960000000004,-0.006899879999999997,-0.0035677472913813323,0.8325265340836275,0.3753458812562266,-0.13809822010165518,0.40963188539860307,-0.5813829849906206,-0.39756642412475857,0.4061008035203471,0.582251578402478,0.2,ehc,False
1764013223341112748,0.5,0.5,100,100,sobel,0.037199840000000005,0.03689988,0.03589988000000001,0.0015999200000000047,0.0024660263543093345,1.0466449523556296,0.37495745671784864,-0.13800973711759457,0.40991056940859105,-0.5812658177100141,-0.3974184119444295,0.40626911504275487,0.5823521796746823,0.2,ehc,False
1764013223441835728,0.5,0.5,100,100,sobel,0.034799840000000005,0.035849860000000004,0.034824850000000004,-0.0010750300000000046,-0.00010446182284533758,0.9700547745563494,0.3745122189883493,-0.13794483282424772,0.4102215500697811,-0.5810607084336775,-0.39730187400907585,0.40655311345086903,0.5824381855328807,0.2,ehc,False
1764013223541044025,0.5,0.5,100,100,sobel,0.034799840000000005,0.035324850000000005,0.034549840000000005,-0.00027500999999999914,0.00034777908857733394,0.992103052848756,0.3740846826614209,-0.13781626841982247,0.41021574730813537,-0.581064047086017,-0.3973443881237149,0.406545206019639,0.5824113716893404,0.2,ehc,False
1764013223641168856,0.5,0.5,100,100,sobel,0.03199935999999999,0.033662105,0.03244322749999999,-0.0021066125000000144,-0.0007419117057113408,0.9390268522227595,0.37362264009624807,-0.13761049921976365,0.41003893429993665,-0.5811874028255614,-0.3974349140054578,0.4063805877771985,0.5823414031341166,0.2,ehc,False
1764013223740899681,0.5,0.5,100,100,sobel,0.030799840000000002,0.032230972499999996,0.030905967499999992,-0.0015372599999999986,-8.62796028556625e-05,0.9526169213590109,0.37311636125057446,-0.1373750803579897,0.41000823142434417,-0.5812389538400777,-0.3974291495942469,0.40629825313550777,0.5823513364719966,0.2,ehc,False
1764013223841114243,0.5,0.5,100,100,sobel,0.02919984,0.03071540625,0.029295120625000004,-0.0016108468749999882,-7.993323892782606e-05,0.9478790989151209,0.3725962292179958,-0.13720021080571226,0.4102028099776747,-0.5811638416987684,-0.3972907418209783,0.4064049809456688,0.5824462610643286,0.2,ehc,False
1764013223940876599,0.5,0.5,100,100,sobel,0.023599839999999993,0.027157623124999995,0.024668588749999994,-0.00462653187500001,-0.0015478091194639236,0.8420715881588895,0.37212199829404635,-0.13703690946868735,0.41037123771162576,-0.5811093522702695,-0.3971906460004521,0.4064664432868393,0.5825260010639163,0.2,ehc,False
1764013224041221313,0.5,0.5,100,100,sobel,0.025999839999999996,0.026578731562499996,0.025044768593749996,0.0003761798437500012,0.0017274512996430437,1.015249345942013,0.37165283856971565,-0.1368919664419911,0.41033062833636225,-0.5810909306468108,-0.39725201481737477,0.40648732452032427,0.5824879587149149,0.2,ehc,False
1764013224140915227,0.5,0.5,100,100,sobel,0.0312,0.028889365781249995,0.029277701406249995,0.0042329328125,0.0027921021341965214,1.1690146505708319,0.3711685810893223,-0.13672366485816045,0.4102759694743423,-0.5811297686787882,-0.3972827365710571,0.4064418494411299,0.5824599919314839,0.2,ehc,False
