timestamp,roi_x,roi_y,roi_width,roi_height,focus_metric,focus_value,ema_focus_value,dema_focus_value,dfv,smooth_ddfv,ratio,ee_pose_x,ee_pose_y,ee_pose_z,ee_orient_x,ee_orient_y,ee_orient_z,ee_orient_w,velocity_command,focus_mode,is_focused
1764017600141034485,0.5,0.5,100,100,sobel,0.0075998400000000035,0.0075998400000000035,0.0075998400000000035,0.0,-4.381787268068491e-05,1.2348239137807522,0.37512696404059664,-0.13808059722344196,0.4087131295155334,-0.5834947081960146,-0.405521109517508,0.401868887383018,0.5775707338469224,0.2,ehc,False
1764017600241033157,0.5,0.5,100,100,sobel,0.010799840000000003,0.009199840000000004,0.009999840000000005,0.002400000000000001,0.001178091063659658,1.3157961220236216,0.37506569726396816,-0.13806188970696895,0.4086792581553059,-0.5834828076054075,-0.4055793684265306,0.4018488191790726,0.577555811727345,0.2,ehc,False
1764017600341144481,0.5,0.5,100,100,sobel,0.01239984,0.010799840000000002,0.011999840000000001,0.0019999999999999966,0.0003890455318298268,1.2000032000512004,0.37458963828687913,-0.13797046488130524,0.4089184682760797,-0.5833796451282165,-0.4054777265529322,0.4020128591113237,0.5776172296847463,0.2,ehc,False
1764017600440932640,0.5,0.5,100,100,sobel,0.00919984,0.009999840000000001,0.010199840000000002,-0.0017999999999999995,-0.0017054772340850846,0.849997999973333,0.37411579796396255,-0.13790340912077892,0.4089415977058861,-0.5833327728795222,-0.405564688849794,0.40207517474960686,0.5775601380747554,0.2,ehc,False
1764017600540880901,0.5,0.5,100,100,sobel,0.011599839999999997,0.010799839999999998,0.011299839999999997,0.001099999999999995,0.0005972613829574552,1.1078448289384926,0.3735874888117351,-0.13773527957819381,0.4089634680465619,-0.5833204012264747,-0.40554954184463526,0.4020870281629165,0.5775750171239272,0.2,ehc,False
1764017600640891033,0.5,0.5,100,100,sobel,0.026799840000000005,0.01879984,0.023049840000000002,0.011750000000000005,0.005623630691478733,2.039837732215678,0.37310382069830034,-0.13750529024959382,0.40898097027710933,-0.5833578551729822,-0.4054888862045834,0.40203666231089114,0.5776148354487293,0.2,ehc,False
1764017600741087658,0.5,0.5,100,100,sobel,0.02119984,0.01999984,0.022724840000000003,-0.0003249999999999989,-0.0032256846542606347,0.9859001190463795,0.3726055100207004,-0.13729903413338237,0.4089744048835111,-0.5834059974994146,-0.4054567590667584,0.40199144910270407,0.5776202329014296,0.2,ehc,False
1764017600840835767,0.5,0.5,100,100,sobel,0.0152,0.01759992,0.01776246,-0.004962380000000002,-0.003931532327130319,0.7816319058792053,0.37207115443104233,-0.13709142934538415,0.4090578815649605,-0.5833703036612994,-0.40538523301413826,0.40201748651150154,0.5776883607960009,0.2,ehc,False
1764017600940884789,0.5,0.5,100,100,sobel,0.0104,0.01399996,0.01228125,-0.00548121,-0.0022251811635651585,0.6914160538574049,0.3715536219992487,-0.1369687832898363,0.40912999605916933,-0.5833163352147598,-0.40539240082447253,0.40210422444296195,0.5776774594101076,0.2,ehc,False
1764017601040880922,0.5,0.5,100,100,sobel,0.0128,0.01339998,0.012240635,-4.061500000000079e-05,0.0016077069182174205,0.9966929262086514,0.37106598244877137,-0.13679747170240483,0.4091150335718453,-0.5833294011355873,-0.40538603496761544,0.4020841624215597,0.577682697294791,0.2,ehc,False
